component;property;de;en;mn;Dev-status
MoMo.login.view.registration.Registration;config.data.helpButtonText;Hilfedokument;Helpdocument;Helpdocument; -
MoMo.login.view.registration.Registration;config.data.contextHelpTooltip;Kontextsensitive Hilfe;Contextsensitive help;Contextsensitive help; -
MoMo.login.view.registration.Registration;config.data.registrationTitle;MoMo - Account erstellen;MoMo - Create Account;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.registrationDescriptionText;Geben Sie ihre Email und ein Passwort für die Registrierung ein.;Enter e-mail and password to register.;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.registrationEmailEmptyText;Email;Email;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.registrationPasswordEmptyText;Passwort;Password;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.registrationConfirmPasswordEmptyText;Passwort wiederholen;Confirm Password;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.pwTextfieldNoWhitespaceText;Whitespace nicht erlaubt;No whitespace allowed;Whitespace нь зөвшөөрөгдөөгүй байна;OK
MoMo.login.view.registration.Registration;config.data.passwordsAreNotEqualText;Passwörter stimmen nicht überein;Passwords are not equal;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.registrationBtnText;Account erstellen;Create Account;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.backToLoginText;Zurück zum Login;Back to Login;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.accountCreationSuccessTitle;Information;Information;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.accountCreationSuccessMsg;Der Account wurde erfolgreich erstellt. Sie erhalten eine Mail mit weiteren Informationen;Your account has been successfully created. An Email with further instructions has been sent to your given account;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.accountCreationFailureTitle;Fehler;Error;Хэл нь одоо байна; -
MoMo.login.view.registration.Registration;config.data.accountCreationFailureMsg;Fehler beim Anlegen des neuen Accounts;Error creating the new account;Хэл нь одоо байна; -
MoMo.login.view.authentication.Dialog;config.data.helpButtonText;Hilfedokument;Helpdocument;Helpdocument; -
MoMo.login.view.authentication.Dialog;config.data.contextHelpTooltip;Kontextsensitive Hilfe;Contextsensitive help;Contextsensitive help; -
MoMo.login.view.authentication.Dialog;config.data.registrationSuccessTitle;Information;Information;Хэл нь одоо байна; -
MoMo.login.view.authentication.Dialog;config.data.registrationSuccessMsg;Eine Mail mit weiteren Informationen wurde an Ihren Account verschickt;An email with further instructions has been sent to your account;Хэл нь одоо байна; -
MoMo.login.view.authentication.Dialog;config.data.registrationFailureTitle;Fehler;Error;Хэл нь одоо байна; -
MoMo.login.view.authentication.Dialog;config.data.registrationFailureMsg;Fehler beim Versenden der Mail;Error sending the mail to your account;Хэл нь одоо байна; -
MoMo.login.view.authentication.Dialog;config.data.passwordUpdateSuccessTitle;Information;Information;Хэл нь одоо байна; -
MoMo.login.view.authentication.Dialog;config.data.passwordUpdateSuccessMsg;Ihr Passwort wurde erfolgreich geändert;Your password has been successfully updated;Хэл нь одоо байна; -
